J,K,N,p,seed,sim,runtime,identifiable,branch
50,10,10,0.2,0,0,1.1714335717260838,True,6
50,10,10,0.2,1,0,1.5762769542634487,True,6
50,10,10,0.2,1,1,1.5330545092001557,True,6
50,10,10,0.2,0,1,1.69525673892349,True,6
50,10,10,0.2,0,2,1.9736809385940433,True,6
50,10,10,0.2,1,2,2.6336747854948044,True,6
50,10,10,0.2,1,3,1.344089020974934,True,6
50,10,10,0.2,0,3,2.960609138943255,True,6
50,10,10,0.2,1,4,1.7825611885637045,True,6
50,10,10,0.2,1,5,0.003786318004131317,1,4
50,10,10,0.2,0,4,2.217383276671171,True,6
50,10,10,0.2,1,6,1.5167470863088965,True,6
50,10,10,0.2,0,5,1.9137794030830264,True,6
50,10,10,0.2,1,7,2.119759188964963,True,6
50,10,10,0.2,1,8,1.4082251098006964,True,6
50,10,10,0.2,0,6,1.8855002168565989,True,6
50,10,10,0.2,1,9,1.140910791233182,True,6
50,10,10,0.2,0,7,1.6553223077207804,True,6
50,10,10,0.2,0,8,0.0025568995624780655,0,2
50,10,10,0.2,0,9,1.0893187830224633,True,6
50,10,10,0.2,3,0,1.5681092664599419,True,6
50,10,10,0.2,4,0,1.9751754915341735,True,6
50,10,10,0.2,2,0,1.942869081045501,True,6
50,10,10,0.2,4,1,2.0530603108927608,True,6
50,10,10,0.2,4,2,0.003668302670121193,1,4
50,10,10,0.2,2,1,2.0513215720420703,True,6
50,10,10,0.2,3,1,2.842950889840722,True,6
50,10,10,0.2,2,2,1.865315439994447,True,6
50,10,10,0.2,4,3,2.1273227827623487,True,6
50,10,10,0.2,3,2,2.753912702202797,True,6
50,10,10,0.2,4,4,2.28382402472198,True,6
50,10,10,0.2,3,3,1.5599275026470423,True,6
50,10,10,0.2,2,3,2.9921802770113572,True,6
50,10,10,0.2,4,5,1.9298531897366047,True,6
50,10,10,0.2,2,4,1.9466892699711025,True,6
50,10,10,0.2,3,4,2.937423792667687,True,6
50,10,10,0.2,3,5,0.0033598262816667557,1,4
50,10,10,0.2,4,6,1.4575412655249238,True,6
50,10,10,0.2,3,6,1.5595095306634903,True,6
50,10,10,0.2,4,7,1.7777279140427709,True,6
50,10,10,0.2,2,5,2.9124852980021387,True,6
50,10,10,0.2,3,7,2.0346165308728814,True,6
50,10,10,0.2,2,6,2.1442733369767666,True,6
50,10,10,0.2,3,8,1.61525565572083,True,6
50,10,10,0.2,3,9,0.0036765411496162415,1,4
50,10,10,0.2,4,8,3.933863784186542,True,6
50,10,10,0.2,2,7,3.2773761929711327,True,6
50,10,10,0.2,4,9,1.8264697017148137,True,6
50,10,10,0.2,2,8,1.414421982015483,True,6
50,10,10,0.2,2,9,0.8915578499436378,True,6
50,10,10,0.2,8,0,1.4342606216669083,True,6
50,10,10,0.2,6,0,1.6185118649154902,True,6
50,10,10,0.2,7,0,1.9826542688533664,True,6
