J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
20,6,10,0.2,1,0.019061152543872594,0.5,0,0,0,5,0,2,0,3
20,6,10,0.2,0,0.07230590619146823,0.8,0,0,0,2,0,4,0,4
20,6,10,0.2,6,0.1969242132268846,0.6,2,0,0,2,0,1,0,5
20,6,10,0.2,4,0.7652571158483624,0.6,1,1,0,2,0,1,0,5
20,6,10,0.2,3,1.2780807899311184,0.8,0,0,0,2,0,1,0,7
20,6,10,0.2,7,0.009185935882851482,0.5,0,0,0,5,0,3,0,2
20,6,10,0.2,10,0.03605379043146968,0.7,0,1,0,2,0,2,0,5
20,6,10,0.2,9,0.07262499183416367,0.8,1,0,0,1,0,1,0,7
20,6,10,0.2,8,0.353119068685919,0.6,0,0,0,4,0,3,0,3
20,6,10,0.2,13,0.03496233280748129,0.8,0,0,0,2,0,4,0,4
20,6,10,0.2,14,0.04317498789168894,0.7,0,0,0,3,0,1,0,6
20,6,10,0.2,15,0.0969180790707469,0.5,0,0,0,5,0,0,0,5
20,6,10,0.2,19,0.06109960861504078,0.5,1,1,0,3,0,0,0,5
20,6,10,0.2,17,0.09326126603409648,0.6,2,0,0,2,0,3,0,3
20,6,10,0.2,18,2.4526212310418485,0.5,0,1,0,4,0,1,0,4
20,6,10,0.2,20,0.02398533998057246,0.6,1,0,0,3,0,3,0,3
20,6,10,0.2,23,0.0695505190640688,0.6,0,0,0,4,0,1,0,5
20,6,10,0.2,22,0.13386513581499457,0.7,0,0,0,3,0,2,0,5
20,6,10,0.2,21,0.2719337033107877,0.5,0,0,0,5,0,1,0,4
20,6,10,0.2,2,18.369869011361153,0.5,1,0,0,4,0,0,0,5
20,6,10,0.2,24,0.03524234597571194,0.8,0,0,0,2,0,3,0,5
20,6,10,0.2,25,1.635509946476668,0.5,0,0,0,5,0,1,0,4
20,6,10,0.2,28,0.014260413590818644,0.7,0,0,0,3,0,4,0,3
20,6,10,0.2,31,0.021659812796860932,0.7,0,0,0,3,0,3,0,4
20,6,10,0.2,30,0.025721466355025768,0.5,0,0,0,5,0,0,0,5
20,6,10,0.2,32,0.020029760245233775,0.4,1,0,0,5,0,2,0,2
20,6,10,0.2,34,0.017050264310091733,0.4,2,1,0,3,0,0,0,4
20,6,10,0.2,35,0.020962515193969012,0.6,1,0,0,3,0,2,0,4
20,6,10,0.2,33,0.020349221098877025,0.7,0,0,0,3,0,5,0,2
20,6,10,0.2,36,0.13798958882689477,0.7,2,0,0,1,0,1,0,6
20,6,10,0.2,37,0.0058937291614711285,0.4,0,2,0,4,0,3,0,1
20,6,10,0.2,40,0.021547854971140624,0.6,0,0,0,4,0,3,0,3
20,6,10,0.2,38,0.05354387620463967,0.4,1,1,0,4,0,1,0,3
20,6,10,0.2,39,0.08150652730837464,0.7,0,1,0,2,0,1,0,6
20,6,10,0.2,26,10.74643715461716,0.4,0,0,0,6,0,2,0,2
20,6,10,0.2,27,11.203112625144422,0.6,0,0,0,4,0,2,0,4
20,6,10,0.2,41,0.22933531487360598,0.6,0,0,0,4,0,3,0,3
20,6,10,0.2,48,0.014540721382945775,0.6,1,0,0,3,0,3,0,3
20,6,10,0.2,45,0.026900697965174913,0.6,1,0,0,3,0,4,0,2
20,6,10,0.2,46,0.14758369429036974,0.7,0,0,0,3,0,1,0,6
20,6,10,0.2,47,0.143918099347502,0.7,0,0,0,3,0,2,0,5
20,6,10,0.2,50,0.013877094630151987,0.5,1,1,0,3,0,2,0,3
20,6,10,0.2,51,0.1085371483117342,0.7,0,1,0,2,0,1,0,6
20,6,10,0.2,52,0.6304103206843138,0.5,1,0,0,4,0,1,0,4
20,6,10,0.2,49,2.2443741017952563,0.9,0,0,0,1,0,2,0,7
20,6,10,0.2,44,9.263129828189268,0.7,0,1,0,2,0,3,0,4
20,6,10,0.2,55,0.008828334603458643,0.4,2,0,0,4,0,2,0,2
20,6,10,0.2,54,0.031837654486298564,0.7,3,0,0,0,0,1,0,6
20,6,10,0.2,53,2.038308218214661,0.2,1,1,0,6,0,0,0,2
20,6,10,0.2,5,40.13709520995617,0.4,0,1,0,5,0,1,0,3
20,6,10,0.2,58,0.018305371049791574,0.7,0,1,0,2,0,4,0,3
20,6,10,0.2,59,0.041970269102603194,0.6,0,0,0,4,0,1,0,5
20,6,10,0.2,57,0.20940398229286075,0.5,0,0,0,5,0,1,0,4
20,6,10,0.2,60,0.9249645054864232,0.4,2,0,0,4,0,0,0,4
20,6,10,0.2,29,24.566655533085576,0.7,1,0,0,2,0,0,0,7
20,6,10,0.2,62,0.04440563702955842,0.5,1,0,0,4,0,0,0,5
20,6,10,0.2,63,1.5393066969016218,0.5,0,0,0,5,0,1,0,4
20,6,10,0.2,56,7.975707396864891,0.8,0,0,0,2,0,5,0,3
20,6,10,0.2,65,0.008250428922474384,0.5,0,0,0,5,0,3,0,2
20,6,10,0.2,66,0.033683340437710284,0.6,0,1,0,3,0,1,0,5
20,6,10,0.2,67,0.0582260106690228,0.6,1,0,0,3,0,4,0,2
20,6,10,0.2,68,0.05351364340167493,0.6,1,0,0,3,0,1,0,5
20,6,10,0.2,70,0.11131110144779086,0.7,0,0,0,3,0,1,0,6
20,6,10,0.2,74,0.010023570433259011,0.5,0,0,0,5,0,3,0,2
20,6,10,0.2,75,0.02222921187058091,0.6,0,2,0,2,0,1,0,5
20,6,10,0.2,73,0.024814885971136392,0.6,0,0,0,4,0,3,0,3
20,6,10,0.2,72,4.0610140505246815,0.5,0,1,0,4,0,0,0,5
20,6,10,0.2,71,4.787415521871298,0.4,1,0,0,5,0,0,0,4
20,6,10,0.2,79,0.019199089054018258,0.6,2,0,0,2,0,2,0,4
20,6,10,0.2,80,1.6924241174943746,0.8,1,0,0,1,0,2,0,6
20,6,10,0.2,83,0.025329568050801755,0.6,0,0,0,4,0,1,0,5
20,6,10,0.2,82,0.9537332842126489,0.8,0,1,0,1,0,1,0,7
20,6,10,0.2,86,0.01611174885183573,0.5,0,1,0,4,0,1,0,4
20,6,10,0.2,85,0.11173968361690641,0.5,0,0,0,5,0,0,0,5
20,6,10,0.2,88,0.2705558310262859,0.6,1,0,0,3,0,1,0,5
20,6,10,0.2,87,0.6799641028977931,0.6,1,0,0,3,0,0,0,6
20,6,10,0.2,92,0.010770227760076523,0.3,1,0,0,6,0,1,0,2
20,6,10,0.2,90,0.09271898278966546,0.4,1,0,0,5,0,0,0,4
20,6,10,0.2,91,0.12309347512200475,0.5,0,0,0,5,0,1,0,4
20,6,10,0.2,89,2.9744562244042756,0.6,0,0,0,4,0,3,0,3
20,6,10,0.2,81,9.384687805455178,0.8,1,0,0,1,0,3,0,5
20,6,10,0.2,93,0.013769258931279182,0.4,1,0,0,5,0,1,0,3
20,6,10,0.2,95,0.06137471767142415,0.2,0,0,0,8,0,0,0,2
20,6,10,0.2,99,0.06414134278893471,0.6,0,0,0,4,0,1,0,5
20,6,10,0.2,97,0.1634595001116395,0.6,0,0,0,4,0,0,0,6
20,6,10,0.2,94,5.898216828331352,0.5,0,0,0,5,0,0,0,5
20,6,10,0.2,98,5.668996946886182,0.7,1,0,0,2,0,2,0,5
20,6,10,0.2,69,30.803387290565297,0.8,0,0,0,2,0,2,0,6
20,6,10,0.2,84,31.284886378422378,0.8,0,1,0,1,0,2,0,6
20,6,10,0.2,78,58.55861915231217,0.6,2,0,0,2,0,0,0,6
20,6,10,0.2,11,132.33730120686815,0.7,1,0,0,2,0,2,0,5
20,6,10,0.2,64,105.42599273100495,0.4,1,0,0,5,0,0,0,4
20,6,10,0.2,76,114.93231216212735,0.8,0,0,0,2,0,1,0,7
